,bulk,SUB,ROI
1123,7,6,A1
1124,8,6,A1
1125,9,6,A1
1126,10,6,A1
1127,11,6,A1
1128,12,6,A1
1129,13,6,A1
1130,14,6,A1
1131,15,6,A1
1132,16,6,A1
1133,17,6,A1
1134,18,6,A1
1135,19,6,A1
1136,20,6,A1
1137,21,6,A1
1138,22,6,A1
1139,23,6,A1
1140,24,6,A1
1141,25,6,A1
1142,26,6,A1
1143,27,6,A1
1144,28,6,A1
1145,29,6,A1
1146,30,6,A1
1147,31,6,A1
1148,32,6,A1
1149,33,6,A1
1150,34,6,A1
1151,35,6,A1
1152,36,6,A1
1153,37,6,A1
1154,38,6,A1
1155,39,6,A1
1156,40,6,A1
1157,41,6,A1
1158,42,6,A1
1159,43,6,A1
1160,44,6,A1
1161,45,6,A1
1162,46,6,A1
1163,47,6,A1
1164,48,6,A1
1165,49,6,A1
1166,50,6,A1
1167,51,6,A1
1168,52,6,A1
1169,53,6,A1
1170,54,6,A1
1171,55,6,A1
1172,56,6,A1
1173,57,6,A1
1174,58,6,A1
1175,59,6,A1
1176,60,6,A1
1177,61,6,A1
1178,62,6,A1
1179,63,6,A1
1180,64,6,A1
1181,65,6,A1
1182,66,6,A1
1183,67,6,A1
1184,68,6,A1
1185,69,6,A1
1186,70,6,A1
1187,71,6,A1
1188,72,6,A1
1189,73,6,A1
1190,74,6,A1
1191,75,6,A1
1192,76,6,A1
1193,77,6,A1
1194,78,6,A1
1195,79,6,A1
1196,80,6,A1
1197,81,6,A1
1198,0,7,A1
1199,1,7,A1
1200,2,7,A1
1201,3,7,A1
1202,4,7,A1
1203,5,7,A1
1204,6,7,A1
1205,7,7,A1
1206,8,7,A1
1207,9,7,A1
1208,10,7,A1
1209,11,7,A1
1210,12,7,A1
1211,13,7,A1
1212,14,7,A1
1213,15,7,A1
1214,16,7,A1
1215,17,7,A1
1216,18,7,A1
1217,19,7,A1
1218,20,7,A1
1219,21,7,A1
1220,22,7,A1
1221,23,7,A1
1222,24,7,A1
1223,25,7,A1
1224,26,7,A1
1225,27,7,A1
1226,28,7,A1
1227,29,7,A1
1228,30,7,A1
1229,31,7,A1
1230,32,7,A1
1231,33,7,A1
1232,34,7,A1
1233,35,7,A1
1234,36,7,A1
1235,37,7,A1
1236,38,7,A1
1237,39,7,A1
1238,40,7,A1
1239,41,7,A1
1240,42,7,A1
1241,43,7,A1
1242,44,7,A1
1243,45,7,A1
1244,46,7,A1
1245,47,7,A1
1246,48,7,A1
1247,49,7,A1
1248,50,7,A1
1249,51,7,A1
1250,52,7,A1
1251,53,7,A1
1252,54,7,A1
1253,55,7,A1
1254,56,7,A1
1255,57,7,A1
1256,58,7,A1
1257,59,7,A1
1258,60,7,A1
1259,61,7,A1
1260,62,7,A1
1261,63,7,A1
1262,64,7,A1
1263,65,7,A1
1264,66,7,A1
1265,67,7,A1
1266,68,7,A1
1267,69,7,A1
1268,70,7,A1
1269,71,7,A1
1270,72,7,A1
1271,73,7,A1
1272,74,7,A1
1273,75,7,A1
1274,76,7,A1
1275,77,7,A1
1276,78,7,A1
1277,79,7,A1
1278,80,7,A1
1279,81,7,A1
1280,82,7,A1
1281,83,7,A1
1282,84,7,A1
1283,85,7,A1
1284,86,7,A1
1285,87,7,A1
1286,88,7,A1
1287,89,7,A1
1288,0,8,A1
1289,1,8,A1
1290,2,8,A1
1291,3,8,A1
1292,4,8,A1
1293,5,8,A1
1294,6,8,A1
1295,7,8,A1
1296,8,8,A1
1297,9,8,A1
1298,10,8,A1
1299,11,8,A1
1300,12,8,A1
1301,13,8,A1
1302,14,8,A1
1303,15,8,A1
1304,16,8,A1
1305,17,8,A1
1306,18,8,A1
1307,19,8,A1
1308,20,8,A1
1309,21,8,A1
1310,22,8,A1
1311,23,8,A1
1312,24,8,A1
1313,25,8,A1
1314,26,8,A1
1315,27,8,A1
1316,28,8,A1
1317,29,8,A1
1318,30,8,A1
1319,31,8,A1
1320,32,8,A1
1321,33,8,A1
1322,34,8,A1
1323,35,8,A1
1324,36,8,A1
1325,37,8,A1
1326,38,8,A1
1327,39,8,A1
1328,40,8,A1
1329,41,8,A1
1330,42,8,A1
1331,43,8,A1
1332,44,8,A1
1333,45,8,A1
1334,46,8,A1
1335,47,8,A1
1336,48,8,A1
1337,49,8,A1
1338,50,8,A1
1339,51,8,A1
1340,52,8,A1
1341,53,8,A1
1342,54,8,A1
1343,55,8,A1
1344,56,8,A1
1345,57,8,A1
1346,58,8,A1
1347,59,8,A1
1348,60,8,A1
1349,61,8,A1
1350,62,8,A1
1351,63,8,A1
1352,64,8,A1
1353,65,8,A1
1354,66,8,A1
1355,67,8,A1
1356,68,8,A1
1357,69,8,A1
1358,70,8,A1
1359,71,8,A1
1360,72,8,A1
1361,73,8,A1
1362,74,8,A1
1363,75,8,A1
1364,76,8,A1
1365,77,8,A1
1366,78,8,A1
1367,79,8,A1
